nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority
BLOCK INC ,852234AD5,74,36000,SH,,SOLE,,0,0,36000
SPDR S P 600 SMALL CAP VALUE ETF,78464A300,1478,17456,SH,,SOLE,,0,0,17456
SPDR S P 400 MID CAP GROWTH ETF,78464A821,3190,39129,SH,,SOLE,,0,0,39129
SPDR S P 600 SMALL CAP GROWTH ETF,78464A201,1582,17049,SH,,SOLE,,0,0,17049
ISHARES MSCI EAFE GROWTH ETF,464288885,5370,48694,SH,,SOLE,,0,0,48694
LILLY ELI  CO COM,532457108,420,1523,SH,,SOLE,,0,0,1523
HASBRO INC COM,418056107,1252,12308,SH,,SOLE,,0,0,12308
AIR PRODS  CHEMS INC COM,009158106,1640,5392,SH,,SOLE,,0,0,5392
SPLUNK INC ,848637AD6,58,53000,SH,,SOLE,,0,0,53000
LEIDOS HOLDINGS INC COM,525327102,3647,41026,SH,,SOLE,,0,0,41026
VANGUARD TOTAL INTERNATIONAL STOCK ETF,921909768,8097,127378,SH,,SOLE,,0,0,127378
PPL CORP COM,69351T106,456,15192,SH,,SOLE,,0,0,15192
DEXCOM INC ,252131AH0,117,36000,SH,,SOLE,,0,0,36000
VANGUARD S P 500 GROWTH ETF,921932505,543,1800,SH,,SOLE,,0,0,1800
FIDELITY NATL INFORMATION SVCS COM,31620M106,2907,26637,SH,,SOLE,,0,0,26637
DUKE ENERGY CORP NEW COM NEW,26441C204,474,4519,SH,,SOLE,,0,0,4519
MICRON TECHNOLOGY INC COM,595112103,216,2321,SH,,SOLE,,0,0,2321
INCYTE CORP COM,45337C102,1032,14073,SH,,SOLE,,0,0,14073
SYSCO CORP COM,871829107,488,6224,SH,,SOLE,,0,0,6224
TELADOC HEALTH INC ,87918AAC9,63,36000,SH,,SOLE,,0,0,36000
ENTERGY CORP NEW COM,29364G103,885,7864,SH,,SOLE,,0,0,7864
EVERSOURCE ENERGY COM,30040W108,206,2265,SH,,SOLE,,0,0,2265
HELIX ENERGY SOLUTIONS GRP INC ,42330PAK3,90,91000,SH,,SOLE,,0,0,91000
ISHARES RUSSELL MID CAP GROWTH ETF,464287481,657,5708,SH,,SOLE,,0,0,5708
VANGUARD SMALL CAP VALUE INDEX FUND,922908611,2093,11705,SH,,SOLE,,0,0,11705
ETSY INC ,29786AAJ5,137,54000,SH,,SOLE,,0,0,54000
REGENERON PHARMACEUTICALS COM,75886F107,4216,6676,SH,,SOLE,,0,0,6676
APELLIS PHARMACEUTICALS INC ,03753UAB2,99,66000,SH,,SOLE,,0,0,66000
EXACT SCIENCES CORP ,30063PAC9,74,77000,SH,,SOLE,,0,0,77000
ISHARES MSCI EAFE VALUE ETF,464288877,9141,181406,SH,,SOLE,,0,0,181406
SPDR NUVEEN BLOOMBERG HIGH YIELD MUNICIPAL BOND ETF,78464A284,1049,17472,SH,,SOLE,,0,0,17472
PEBBLEBROOK HOTEL TR ,70509VAA8,100,92000,SH,,SOLE,,0,0,92000
VANGUARD MID CAP GROWTH INDEX FUND,922908538,686,2696,SH,,SOLE,,0,0,2696
EVERBRIDGE INC ,29978AAC8,33,34000,SH,,SOLE,,0,0,34000
INTEGRA LIFESCIENCES HLDGS CP,457985AM1,99,91000,SH,,SOLE,,0,0,91000
ELECTRONIC ARTS INC COM,285512109,2679,20312,SH,,SOLE,,0,0,20312
VISA INC COM CL A,92826C839,15142,69874,SH,,SOLE,,0,0,69874
PIMCO ACTIVE BOND EXCHANGE TRADED FUND,72201R775,254,2330,SH,,SOLE,,0,0,2330
VANGUARD VALUE INDEX FUND,922908744,6850,46563,SH,,SOLE,,0,0,46563
VANGUARD GROWTH INDEX FUND,922908736,3523,10979,SH,,SOLE,,0,0,10979
